ID,建議之標題,建議資料集名稱,建議開放的欄位,建議原因,派發機關,回復狀態,分派狀態,回復時間,回應
17291,敬請開放「基地台建置位置資訊」,基地台建置位置資訊（此為資料描述，實際要看政府單位是否有相關或替代資料可參考）,"基地台位置座標、鄉鎮市區、申請單位...等
參考來源之一：國家通訊傳播委員會/頻率資料庫查詢系統 https://freqdbo.ncc.gov.tw/Portal/NCCB06Q_01v1.aspx",做為住家資訊之鄰避設施資料，可供查詢避免購買或租屋到周邊地帶。,國家通訊傳播委員會,已回復,已分派,"星期一, 七月 27, 2015 - 08:00","[<p>您好，關於您所問的問題回覆如下：感謝您於104年7月16日至政府開放平臺反映開放基地臺建置位置資訊一事，謹為您說明如下：<br/>
(一)查基地臺設置地點資訊係本會依規定於職權範圍內所取得之訊息，囿於基地臺設置地點之資料如予公開恐有妨害電信事業營業上秘密，鑒此，本會依法尚未能開放相關資訊，不便之處，敬請見諒。<br/>
(二)再次感謝您的來信建議，若有其他建議，歡迎至本會意見信箱反映： https://cabletvweb.ncc.gov.tw/SWSFront35/SWSF/SWSF01014.aspx。 敬祝順心愉快！國家通訊傳播委員會敬復</p>]","[<p>關於您建議—敬請開放「基地台建置位置資訊」資料集，已請主管機關國家通訊傳播委員會研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
17290,敬請開放「電影院位置資訊」,電影院位置資訊（此為資料描述，實際要看政府單位是否有相關或替代資料可參考）,電影院名稱、地址、座標、管理單位...等,提供居家生活地理資訊網相關據點位置資訊，供民眾做生活品質評估運用，亦可作為政府或學術機關進行學術研究參考用途。,文化部,已回復,已分派,"星期一, 八月 31, 2015 - 00:00","[<p>關於您建議—敬請開放「電影院位置資訊」資料集，已請主管機關文化部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]","[<p>有關您提出開放「電影院位置資訊」之意見，本部預計將於104年9月底前可開放電影院名稱及地址資料；依104年6月12日施行之電影法修正案，電影片映演業（電影院）已非特許事業，相關之管理已回歸各地方政府各該主管機關，有關管理單位之資料，非屬本部權責。 至於座標資料可經內政部TGOS系統 API將地址轉換為座標。<br/>
謝謝您的來信，爾後對本部所推動各項業務，如有任何問題或建議，歡迎您再度來信指教。</p>, <p>文化部　敬復</p>]"
17289,敬請開放「腳踏車租借據點」,腳踏車租借據點（此為資料描述，實際要看政府單位是否有相關或替代資料可參考）,"腳踏車租借站名稱、站點地址、站點座標、管理單位...等
參考來源之一：臺北市河濱自行車租借站http://www.ukan.com.tw/main.html",提供居家生活地理資訊網相關據點位置資訊，供民眾做生活品質評估運用，亦可作為政府或學術機關進行學術研究參考用途。,嘉義市政府,基隆市政府,屏東縣政府,彰化縣政府,[<p>您好 目前本府尚未建置腳踏車租借據點等資料集，尚無法提供資訊查詢。 謝謝您 對政府資料開放的關心! 祝順心如意 雲林縣政府敬啟</p>],"[<p>關於您建議—敬請開放「腳踏車租借據點」資料集，已請主管機關嘉義市政府、基隆市政府、屏東縣政府、彰化縣政府、桃園縣政府、澎湖縣政府、臺東縣政府、花蓮縣政府、苗栗縣政府、雲林縣政府、臺南市政府研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
17288,敬請開放「停電資訊」,停電資訊（此為資料描述，實際要看政府單位是否有相關或替代資料可參考）,"停電發生時間、縣市鄉鎮、停電區域、停電原因、復電時間...等
參考來源之一：台灣電力公司/停電查詢/http://nds.taipower.com.tw/ndsweb/ndft112.aspx",提供買賣屋、租屋等住宿民眾之官方資訊以做生活品質評估等用途，亦可作為政府或學術機關進行學術研究參考用途。,經濟部,已回復,已分派,"星期四, 九月 17, 2015 - 00:00","[<p>您好，謝謝您關心台電的相關資料開放情形，本公司計劃性工作停電資料目前因係各區處自行維護所屬區域之資料，目前以網頁形式提供於台電官方網站，為符合開放資料之要求，將另開發相關程式俾利維護開放，預計於104年11月底前上線後提供。未來將以CSV檔每日更新工作停電資料，並參考自來水公司之方式，以三段式地址提供至路段。<br/>
台灣電力公司 敬上</p>]","[<p>本季是指7/1~9/30 嗎?</p>, <p>可以像自來水公司學習嗎?</p>, <p>停水資訊請參考http://data.gov.tw/?q=node/6050</p>, <p>是多久更新一次呢?</p>]","[<p>您好，謝謝您的建議。本公司已預計於本季於本「政府資料開放平臺」揭露台電公司計劃性工作停電資訊，內容將包含停電起訖時間、停電原因及停電區域地址等資訊，並提供民眾下載文字格式之電子檔，日後可滿足資訊分析後做為民生及學術研究參考。再次謝謝您的建議 。<br/>
台灣電力公司敬上</p>]","[<p>關於您建議—敬請開放「停電資訊」資料集，已請主管機關經濟部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
17287,敬請開放「司法院判決資料」,司法院判決資料（此為資料描述，實際要看政府單位是否有相關或替代資料可參考）,"法院名稱、裁判類別、判決字號、判決案由、判決日期、裁判主文...等所有司法院目前公開查閱的判決資料
參考來源之一：司法院/司法院法學資料檢索系統/jirs.judicial.gov.tw/Index.htm",整合目前最新司法院判決資訊，提供相關資訊服務。,司法院,已回復,已分派,"星期四, 十月 29, 2015 - 00:00",[<p>有關台端於本平臺建議開放「司法院判決資料」由司法院主政，已將您的意見反應至司法院司法信箱，請司法院研議辦理，司法院的回復內容將會於平臺上公開，並以電子郵件回復給您。 謝謝您寶貴意見，我們非常關心且重視，將參考各界建議持續精進平臺服務品質。如有其他問題請不吝提供，我們將竭誠為您服務，謝謝。 政府資料開放平臺營運團隊　敬復</p>],[<p>由於法院裁判資料含有識別個人之資訊，依個資法尚無法提供。目前本院係依政府資訊公開法第13條第2項規定，主動於本院網站提供可公開裁判書資料，不再個別提供重製之電子檔。 司法院 敬復</p>]
17286,敬請開放「台灣無障礙友善景點餐廳」,台灣無障礙友善景點餐廳（此為資料描述，實際要看政府單位是否有相關或替代資料可參考）,"名稱、地址、電話、費用、營業時間、簡介、座標等資料...等
參考來源之一：交通部觀光局/國家風景區無障礙旅遊路線
http://taiwan.net.tw/m1.aspx?sNo=0016597",提供民眾友善空間查詢，使無障礙需求使用者有更多旅遊參考與選擇。,未回復,已分派,"星期五, 十一月 6, 2015 - 16:21",,"[<p>您好:<br/>
經查詢本府工旅處網站, 有類似交通部觀光局網站資料,<br/>
但無餐廳、費用、營業時間及簡介資訊<br/>
宜蘭無障礙景點<br/>
(http://tourism.e-land.gov.tw/eng/index.php?code=list&amp;ids=28#.Vj_4b7crKUm)</p>]","[<p>關於您建議—敬請開放「台灣無障礙友善景點餐廳」資料集，已請主管機關嘉義市政府、基隆市政府、宜蘭縣政府、屏東縣政府、彰化縣政府、桃園縣政府、澎湖縣政府、臺東縣政府、花蓮縣政府、苗栗縣政府、雲林縣政府、臺南市政府研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
17285,敬請開放「離島客輪船期資料」,離島客輪船期資料（此為資料描述，實際要看政府單位是否有相關或替代資料可參考）,"航班表、日期、船舶、訂位電話、開航時間、抵達時間...等
參考來源之一：台東縣觀光旅遊網/離島交通http://tour.taitung.gov.tw/zh-tw/Traffic/Island",民眾規劃旅遊時查詢資訊更多更方便。,交通部,已回復,已分派,"星期四, 七月 30, 2015 - 15:35",[<p>您好，關於建議開放「離島客輪船期資料」，交通部航港局已提供「國內固定航班資訊」資料集，欄位包含航線、出發日期時間、到達日期時間、出發港口、到達港口及異動資訊；另建議再增加船舶名稱及訂位電話欄位已納入辦理，完成後將作資料集更新。查詢離島客輪船期資料可至交通部航港局網站「為民服務」-「航班資訊」-「國內航班資訊」。謝謝您的寶貴意見。</p>],[<p>您好，關於建議開放「離島客輪船期資料」，交通部航港局已提供「國內固定航班資訊」資料集，欄位包含航線、出發日期時間、到達日期時間、出發港口、到達港口及異動資訊；另建議再增加船舶名稱及訂位電話欄位已納入辦理，完成後將作資料集更新。查詢離島客輪船期資料可至交通部航港局網站「為民服務」-「航班資訊」-「國內航班資訊」。謝謝您的寶貴意見。</p>],[<p>您好，關於您建議開放「離島客輪船期資料」之開放建議，交通部航港局已於政府資料開放平臺提供「國內固定航班資訊部分欄位(出發港口、出發時間、到達港口、到達時間、航線」資料集(http://data.gov.tw/node/8236)，敬請前往下載使用，再次謝謝您對政府資料開放之支持與關心，祝您身體健康一切如意。 政府資料開放平臺營運團隊 敬復</p>]
17284,敬請開放「國中小營養午餐菜單」,國中小營養午餐菜單（此為資料描述，實際要看政府單位是否有相關或替代資料可參考）,縣市別、學校名、學校級別(高/國/小/幼)、午餐日期、主食名、副食名、點心名、熱量...等,提供國中小父母了解孩子在校營養狀況，搭配放學回家後的晚餐烹飪，並掌握各校的營養午養辦伙情形。,教育部,已回復,已分派,"星期五, 七月 31, 2015 - 00:00",[<p>依據行政院開放資料政策，部會主管機關應依據民間需求評估資料開放可行性，此資料已有線上資訊供查詢，若此資料開放無法規上的限制，是否得以將資訊轉化為三顆行以上開放格式並規劃開放期程，盡快授權開放供民間運用，提升資料運用價值，再請教育部評估與協助，謝謝！</p>],"[<p>有關您建議開放「國中小營養午餐菜單」資料集案，回復如下：<br/>
本部已建置校園食材登錄平臺(https://fatraceschool.moe.gov.tw)，可查詢各縣市學校每日午餐菜單內容。謝謝您的寶貴意見。教育部敬上</p>]","[<p>關於您建議—敬請開放「國中小營養午餐菜單」資料集，已請主管機關教育部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
17282,敬請開放「各地機構照顧服務員執照持有情況（去個資）」,各地機構照顧服務員執照持有情況（去個資）（此為資料描述，實際要看政府單位是否有相關或替代資料可參考）,縣市地區、照顧機構名稱、照顧機構聯繫資訊、照服員人數、照顧服務員去個資名單、領證日期、照服員執照編號...等（開放去個資化資料即可）,幫雇主解決醫療看護上聘用到非法看護的問題，讓合法看護可以透過APP服務來尋找合適的雇主，讓雇主可以安心找安護，讓看護行業更透明化、公開化。,衛生福利部,已回復,已分派,"星期一, 七月 20, 2015 - 14:50","[<p>您好，查104年12月底全國老人福利機構計1,067家，實際於機構工作之照顧服務員共8,357人，均領有照顧服務員訓練結業證書、領有照顧服務員職類技術士證及高中(職)以上學校護理、照顧相關科(組)畢業。惟本部目前未有針對老人福利機構內照顧服務員持照之持有情況相關資料。  感謝您的來信，祝您平安、健康! 衛生福利部社家署敬復</p>]","[<p>關於您建議—敬請開放「各地機構照顧服務員執照持有情況（去個資）」資料集，將由衛生福利部接續研議辦理，相關辦理情形說明將請主管機關儘速回覆，敬候等待。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]",[<p>關於您建議—敬請開放「各地機構照顧服務員執照持有情況（去個資）」，經查非本部主管。請洽主責機關回覆，謝謝您的寶貴意見。 衛福部敬上</p>],[<p>距離詢問已經一個多月，請問主管機關目前此資料開放評估狀況如何？可否協助盡快將可開放資料部份規劃開放期程並予以開放，謝謝！</p>],"[<p>關於您建議—敬請開放「各地機構照顧服務員執照持有情況（去個資）」資料集，已請主管機關衛生福利部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
17281,敬請開放「開放資料集瀏覽下載使用情況」,開放資料集瀏覽下載使用情況,"資料主管機關、資料集名稱、統計時間、瀏覽次數、下載次數...等
希望每週能更新一次",可知道民間對各政府資料集之關注與實際運用情況。,本平臺營運窗口,已回復,已分派,"星期四, 七月 30, 2015 - 15:30",[<p>您好，關於您建議開放「資料集瀏覽下載使用情況」之開放建議，已於政府資料開放平臺提供「政府資料開放平臺資料集瀏覽及下載次數統計」資料集(https://data.gov.tw/dataset/8693)，除此一方法之外還有其他方式可取得資料集瀏覽下載使用情況，敬請前往下載使用，再次謝謝您對政府資料開放之支持與關心，祝您身體健康一切如意。 政府資料開放平臺營運團隊 敬復</p>],[<p>關於您建議—【 敬請開放「開放資料集瀏覽下載使用情況」 】的建議開放資料集，已請主管機關【 本平臺營運窗口 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>],[<p>您好，關於您建議開放「資料集瀏覽下載使用情況」之開放建議，已於政府資料開放平臺提供「政府資料開放平臺資料集瀏覽及下載次數統計」資料集(http://cms.data.gov.tw/node/8693)，除此一方法之外還有其他方式可取得資料集瀏覽下載使用情況，詳見常見問答專區「如何獲得政府料開放平臺的資料集清單及瀏覽下載統計數據」(http://cms.data.gov.tw/node/15488)，敬請前往下載使用，再次謝謝您對政府資料開放之支持與關心，祝您身體健康一切如意。 政府資料開放平臺營運團隊 敬復</p>]
17280,敬請開放「保險商品條款及匯率資訊」,保險商品條款及匯率資訊（此為資料描述，實際要看政府單位是否有相關或替代資料可參考）,發行保險公司、保險商品名稱、保險商品編號、保險條款、保險匯率...等,輔助一般民眾和保險業務人員進行「跨公司的綜合組合保單」的深入分析，準確一般民眾於人生各階段的保險需求，避免全民共構的保險資源之浪費。,金融監督管理委員會,已回復,已分派,"星期二, 八月 11, 2015 - 00:00",[<p>您好，因為逐筆查詢有許多使用上的限制，請問是否可配合行政院Open Data政策，將其他如發行保險公司、保險商品名稱、保險商品標號等欄位資訊授權轉為開放資料格式，上架至政府資料開放平台開放供民間擴大運用，提升資料的運用效益，謝謝！</p>],"[<p>有關台端建議將發行保險公司、保險商品名稱、保險商品標號其他資料轉為開放資料格<br/>
式乙案，因台端所需的保險商品資料，目前在財團法人保險事業發展中心(下稱保發中<br/>
心)商品資料庫中已有完整且充足的資訊，因現行大部分資料（如保單條款、費率等）<br/>
係由保險公司以PDF檔案格式提供保發中心彙整，在保險公司未提供OpenData格式之資<br/>
料前，保發中心尚難將前述商品資料庫內容轉成OpenData格式，若僅轉檔部分內容，反<br/>
而徒增民眾使用上的困擾，故建議台端如有需要時，可逕至保發中心商品資料庫查詢。</p>]",[<p>有關台端建議開放保險商品條款及匯率(應為費率)資訊乙案，查人身保險業辦理資訊公開管理辦法及財產保險業辦理資訊公開管理辦法第9條已分別要求產壽險業應於網站揭露契約條款、預定附加費用率、短期費率表(產險)等資料，財團法人保險事業發展中心並建置保險商品查詢資料庫(http://insprod.tii.org.tw/database/insurance/index.asp)，供大眾查詢保險商品相關資訊，其資訊包含台端建議開放之發行保險公司、保險商品名稱、保險商品標號、保險條款、保險匯率(應為費率)等資料；因保險商品查詢資料庫中保險條款及保險費率等主要資訊係為pdf格式，尚無法轉換成開放格式，因涉及保險業者資訊系統功能，爰目前尚無法於政府資料開放平臺開放前揭項目，併予敘明。</p>],"[<p>關於您建議—敬請開放「保險商品條款及匯率資訊」資料集，已請主管機關金融監督管理委員會研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
17279,敬請開放「各地血庫中心血液剩餘量」,各地血庫中心血液剩餘量（此為資料描述，實際要看政府單位是否有相關或替代資料可參考）,縣市地區、統計時間、血庫中心地址、各類血型庫存量、特殊血液庫存量...等,希望能發展一APP，當各血庫中心血液不足時，發送通知至各中心附近合乎血型民眾鼓勵踴躍捐血。,衛生福利部,已回復,已分派,"星期一, 十月 19, 2015 - 00:00",[<p>距離詢問約一個多月，請問主管機關目前此資料開放評估狀況如何？可否協助盡快將可開放資料部份規劃開放期程並予以開放，謝謝您！</p>],"[<p>詢問公布各地血庫中心血液剩餘量，查目前台灣血液基金會已於該基金會網站公布每日血液庫存量。<br/>
感謝您的來信，祝您健康、快樂!<br/>
衛生福利部醫事司 敬復</p>]","[<p>關於您建議—敬請開放「各地血庫中心血液剩餘量」資料集，已請主管機關衛生福利部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]",[<p>詢問公布各地血庫中心血液剩餘量，查目前台灣血液基金會已於該基金會網站公布每日血液庫存量。 感謝您的來信，祝您健康、快樂! 衛生福利部醫事司 敬復</p>]
17232,各縣市公共自行車站位及相關資訊,各縣市公共自行車站位及相關資訊,站位名稱、Lat、Lon、位置、剩餘車輛、總車輛、可用位置,目前越來越多縣市有公共自行車，僅有臺北市有完整資訊,嘉義市政府,基隆市政府,屏東縣政府,彰化縣政府,[<p>您好 目前本府尚未建置各縣市公共自行車站位等資料集，尚無法提供資訊查詢，俟規劃及建置完成後配合辦理資料集上架作業。 謝謝您 對政府資料開放的關心! 祝順心如意 雲林縣政府敬啟</p>],"[<p>關於您建議—各縣市公共自行車站位及相關資訊資料集，已請主管機關嘉義市政府、基隆市政府、屏東縣政府、彰化縣政府、桃園縣政府、澎湖縣政府、臺東縣政府、花蓮縣政府、苗栗縣政府、雲林縣政府、臺南市政府研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
17179,公開資訊查詢系統-衛生福利部醫事查詢系統：醫事機構查詢/醫事人員查詢財政部稅務入口網 公示資料查詢,"1.醫事查詢系統
2.稅籍統一編號查詢","1.醫事查詢系統：負責人? 評鑑別? 年次?
2.稅籍統一編號查詢：比照公司行號之公示資料查詢","1.確保避免以人頭戶交易
2.保障公司債權
3.避免逃漏稅
4.維持市場經濟正常交易最基本的公開基本資訊",衛生福利部,已回復,已分派,"星期二, 十月 27, 2015 - 00:00","[<p>關於您建議—公開資訊查詢系統-衛生福利部醫事查詢系統：醫事機構查詢/醫事人員查詢財政部稅務入口網 公示資料查詢資料集，已請主管機關衛生福利部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]",[<p>有關台端所建議之稅籍統一編號查詢一事，因非屬醫療法規定之登記事項，故無資料可提供。 衛生福利部醫事司。</p>]
17178,即時藥品使用量/ 實際藥品申報點數/ 實際藥品核付點數 (排除中藥),健保業務報告,即時藥品使用量/ 實際藥品申報點數/ 實際藥品核付點數 (排除中藥),"1.即時藥品使用量狀況：過去公告常有時間落差、即時(如、兩個月~三個月時間差)有利於健保署、醫藥界對藥品利用狀況了解、對藥品政策之建議有即時資訊的參考
2.實際藥品申報點數:了解藥品申報狀況、相較於各年同期、相較於醫療服務點數佔比
3.實際藥品核付點數:了解健保署實際藥品核付金額、以利健保署、醫藥界對藥品是否超過DET及預測藥品調價程度",衛生福利部,已回復,已分派,"星期五, 八月 7, 2015 - 00:00","[<p>您好：<br/>
謝謝您的寶貴意見，<br/>
針對「即時藥品使用量」及「實際藥品申報點數」部分，已於本署全球資訊網開放(「本署全球資訊網首頁/藥材專區/藥品/藥品使用量分析」及「首頁/資訊公開/健保資訊公開/健保業務概況月報/業務概況月報表-表47」)，並預計建置於「政府資料開放平臺」(「即時藥品使用量」於104年12月前建置，「實際藥品申報點數」刻正研議建置時間)。另有關「實際藥品核付點數(排除中藥)」部分，本署雖針對院所申報資料進行專業審查核扣並核付點數，惟並無針對特定申報案件之藥費進行核扣，僅記錄整體核扣點數，爰無法提供單獨實際藥品核付點數。造成不便請您見諒。<br/>
如有其他問題請不吝提供，我們將竭誠為您服務，謝謝。<br/>
祝您健康、快樂！<br/>
中央健康保險署 敬上</p>]","[<p>關於您建議—即時藥品使用量/ 實際藥品申報點數/ 實際藥品核付點數 (排除中藥)資料集，已請主管機關衛生福利部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
17177,開放各手術健保申報數量,各診療項目編號給付申報數量(各層級醫院),各診療項目編號申報數量,"1.目前NHIA並無公告健保給付手術量。
2.透過平台式查詢，可使國內外廠商了解國內手術發展情況，進而發展相關醫材產業",衛生福利部,已回復,已分派,"星期五, 八月 7, 2015 - 00:00","[<p>您好：<br/>
謝謝您的寶貴意見，本署目前對外公開之醫療服務利用統計，原則上係醫院性質或就醫個案之人口學特徵等變項進行統計，若政府機關、研究機構、團體或個人為學術研究需要請求提供資料，可依「全民健康保險保險人對外提供資料作業要點」，向保險人所委託建置全民健康保險研究資料庫之機關或團體(目前由國家衛生研究院承作)，依其申請規定，於該資料庫可提供之範圍內提供。如有其他問題請不吝提供，我們將竭誠為您服務，謝謝。<br/>
祝您健康、快樂！<br/>
中央健康保險署 敬上</p>]","[<p>關於您建議—開放各手術健保申報數量資料集，已請主管機關衛生福利部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
17176,開放健保醫材給付功能類別申報數量,給付類別數量,7碼核價類別之申報數量(各層級醫院) 並提供excel檔案,"1.目前NHIA僅公告2004-2013年前5碼申報數量，並無細分各層醫院申報量，且以pdf方式，不易查詢。
2.透過平台式查詢，可使國內外廠商了解國內使用情形，進而發展相關醫材產業",衛生福利部,已回復,已分派,"星期五, 八月 7, 2015 - 00:00","[<p>您好：<br/>
謝謝您的寶貴意見，因涉及個別醫院採購資料，恐有侵害醫院權益或利益之虞，針對特材核價類別碼，本署僅可提供各年度前5碼所有申報數量供參。另預計於105年起提供開放格式之報表(104年度之報表)及同步建置於「政府資料開放平臺」供使用。造成不便請您見諒。如有其他問題請不吝提供，我們將竭誠為您服務，謝謝。<br/>
祝您健康、快樂！<br/>
中央健康保險署 敬上</p>]","[<p>關於您建議—開放健保醫材給付功能類別申報數量資料集，已請主管機關衛生福利部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
17124,健保疾病確診案例的時間與鄉鎮市區域,健保確診病例地理分布,疾病名稱、傳染病與否、人與動物共通與否、遺傳病與否、確診案例時間、確診案例鄉鎮市、。,因為疾病管制局公布的地理資訊僅限法定傳染病(至縣的層級)。希望能有更細緻的疾病分類(比如以健保有確診的分類，以及能包含遺傳疾病與非法定的傳染病等)與地理紀錄(至鄉鎮的層級)。,衛生福利部,已回復,已分派,"星期二, 九月 1, 2015 - 00:00","[<p>您好:<br/>
1.本部健保署例行性對外公開之醫療服務利用資訊係就醫院性質、年齡、性別等變化進行統計，並不包括特定疾病案例與其地理紀錄。<br/>
2.本部健保署資料庫屬醫療院所申報資料，與疾病管制署法定傳染病通報資料屬性不同，本項建議所需資料，歉難提供。<br/>
謝謝您的寶貴意見。<br/>
中央健康保險署  敬上</p>]","[<p>關於您建議—健保疾病確診案例的時間與鄉鎮市區域資料集，已請主管機關衛生福利部研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。<br/>
政府資料開放服務平臺營運團隊 敬復</p>]"
17039,台北市道路管線資訊,台北市道路管線資訊,"3D立體管線圖
架空纜線位置圖
統一挖補GPS地點與時間","因 7/1 台北市道路管線暨資訊中心上線，相關資料信已備妥，希望能公開監控資料，方便民眾查閱。以下簡述實作概念：

一、「道路好行」資料

目的：提供交通順暢

透過「警廣資料 + 統一挖補GPS地點與時間 + 停車場剩餘車位」，規劃替代道路給民眾。

現有資料：警廣資料、停車場剩餘車位
希望提供：統一挖補GPS地點與時間

ps. 雖有警局提供車禍事故資料，但14天才更新一次，無助用路人避開。

二、「現代化都市」資料

目的：了解居住地房屋周邊安全

透過「架空纜線位置圖 + 3D立體管線圖 + 健保局診所清單 + 機關學校位置」，在租屋前可先了解周邊環境。

現有資料：健保局診所清單、機關學校位置
希望提供：架空纜線位置圖、3D立體管線圖

三、施工安全警示

目的：施工勞工即時了解現場環境

透過「架空纜線位置圖 + 3D立體管線圖」，施工時怪手可知道是否要注意架空纜線，
加上手機 GPS 位置搭配，道路挖掘時可知道底下管線深度。

希望提供：架空纜線位置圖、3D立體管線圖

以上報告

",本平臺營運窗口,已回復,已分派,"星期五, 七月 17, 2015 - 08:00","[<p>有關台端反應--敬請開放「台北市道路管線資訊」一事，為為使您的意見能得到詳細回復，已將您的意見反應至臺北市政府民意信箱，請臺北市政府研議辦理。臺北市政府的回復內容將會於平臺上公開，並以電子郵件回復給您。</p>, <p>另提供您以下資訊參考：<br/>
臺北市政府民意信箱網址：https://contact.taipei.gov.tw/CCLM/CLM/ASPX/CLM00100E.ASPX</p>, <p>政府資料開放平臺營運團隊　敬復</p>]",[<p>關於您建議—【 台北市道路管線資訊 】的建議開放資料集，已請主管機關【 本平臺營運窗口 】研議辦理，相關辦理情形說明將請主管機關儘速回覆，謝謝您的寶貴意見。 政府資料開放服務平臺營運團隊 敬復</p>],"[<p>有關台端反應--敬請開放「台北市道路管線資訊」一事，為為使您的意見能得到詳細回復，已將您的意見反應至臺北市政府民意信箱，請臺北市政府研議辦理。臺北市政府的回復內容將會於平臺上公開，並以電子郵件回復給您。</p>, <p>另提供您以下資訊參考：<br/>
臺北市政府民意信箱網址：https://contact.taipei.gov.tw/CCLM/CLM/ASPX/CLM00100E.ASPX</p>, <p>政府資料開放平臺營運團隊　敬復</p>]","[<p>親愛的市民您好:<br/>
　　關於您所問的問題回覆如下:<br/>
親愛的民眾：您好！<br/>
有關您反映政府資料開放平臺開放台北市道路管線資訊一事，本處謹說明：本處已於臺北市政府資料開放平台開放統一挖補施工資訊及GPS定位等資料，另3D立體管線圖及架空纜線逐步建置中，建置一定程度後再研議開放。<br/>
謝謝您的來信與指教，若您對本次回復內容有任何疑問，歡迎逕洽承辦人：高乾榮聯絡，電話：02-8978-8900轉8255，並祝您<br/>
健康愉快<br/>
臺北市政府工務局新建工程處 敬上</p>]",[<p>哇哩咧，「建議原因」裡面，我的斷行都不見了。</p>],"[<p>您好,<br/>
關於您提到的「建議原因的斷行都不見了」，以下說明:<br/>
此欄位為純文字格式，因此您文句中的斷行甚至其他語法都會不適用，<br/>
造成您的不便深感抱歉，謝謝您寶貴意見，我們非常關心且重視，<br/>
將參考各界建議持續精進平臺服務品質。</p>, <p>如有其他問題請不吝提供，我們將竭誠為您服務，謝謝。 </p>, <p>政府資料開放平臺營運團隊 敬覆</p>]"
